ClientID,VisitDate,VisitDuration
1,2024-02-17,38
1,2024-03-22,82
1,2024-01-07,73
1,2024-03-14,115
1,2024-01-07,53
1,2024-02-02,110
1,2024-01-23,103
1,2024-03-25,59
1,2024-01-19,88
1,2024-04-21,116
1,2024-01-19,110
1,2024-02-05,110
1,2024-01-29,43
1,2024-02-29,38
1,2024-03-22,69
1,2024-01-02,95
1,2024-01-01,54
1,2024-02-16,102
1,2024-03-09,51
1,2024-01-20,33
1,2024-01-11,55
1,2024-04-15,87
1,2024-01-02,58
1,2024-03-07,116
1,2024-03-27,66
1,2024-04-28,104
1,2024-01-12,99
1,2024-01-20,47
1,2024-01-05,114
1,2024-02-06,71
1,2024-02-07,70
1,2024-04-03,67
2,2024-01-17,86
2,2024-02-06,60
2,2024-01-25,35
2,2024-04-11,69
2,2024-03-16,41
2,2024-03-27,82
2,2024-04-26,100
2,2024-04-15,39
2,2024-03-26,74
2,2024-03-25,46
2,2024-01-27,55
3,2024-04-01,51
3,2024-03-02,98
3,2024-02-15,85
3,2024-03-04,62
3,2024-01-02,65
3,2024-02-23,49
3,2024-04-16,112
3,2024-03-05,110
3,2024-02-20,91
3,2024-02-22,102
3,2024-02-05,55
3,2024-04-24,95
3,2024-01-26,102
3,2024-01-29,102
3,2024-01-21,69
3,2024-01-11,46
3,2024-02-09,30
3,2024-01-11,118
3,2024-02-05,90
3,2024-04-22,72
3,2024-02-28,71
3,2024-02-08,54
3,2024-04-13,68
3,2024-04-08,64
3,2024-02-23,32
3,2024-04-07,73
3,2024-02-24,80
3,2024-04-20,41
3,2024-01-24,48
3,2024-04-27,73
4,2024-02-18,45
4,2024-03-01,100
4,2024-01-17,46
4,2024-03-14,52
4,2024-02-26,55
4,2024-02-24,114
4,2024-04-22,115
4,2024-02-16,36
4,2024-01-12,43
4,2024-03-02,108
4,2024-03-20,36
4,2024-03-28,38
4,2024-03-23,77
4,2024-01-08,101
4,2024-04-04,88
4,2024-01-21,116
4,2024-03-21,111
4,2024-03-27,68
4,2024-04-10,47
4,2024-04-27,88
4,2024-03-20,46
4,2024-03-10,43
4,2024-03-12,60
4,2024-01-25,53
4,2024-03-22,89
4,2024-03-29,74
4,2024-01-12,32
4,2024-01-15,66
4,2024-02-28,72
4,2024-01-26,69
4,2024-04-14,119
4,2024-04-18,84
4,2024-01-26,116
4,2024-02-16,68
4,2024-02-01,44
4,2024-01-10,33
5,2024-03-26,39
5,2024-01-25,59
5,2024-01-13,54
5,2024-03-22,113
5,2024-02-02,34
5,2024-01-16,94
5,2024-04-18,78
5,2024-02-11,32
5,2024-04-17,74
5,2024-03-06,43
5,2024-02-24,59
5,2024-04-08,97
5,2024-02-11,47
5,2024-02-03,91
5,2024-01-30,66
5,2024-04-28,54
5,2024-01-13,77
5,2024-01-13,94
5,2024-01-18,82
5,2024-02-01,108
5,2024-04-05,102
5,2024-04-08,44
5,2024-02-08,78
5,2024-02-15,117
5,2024-04-25,97
5,2024-01-29,41
5,2024-03-02,88
5,2024-04-22,66
5,2024-04-02,90
5,2024-03-02,72
5,2024-04-26,99
5,2024-04-17,68
5,2024-02-26,85
5,2024-01-16,92
5,2024-02-25,75
5,2024-04-17,117
5,2024-04-20,40
5,2024-04-30,91
6,2024-04-07,32
6,2024-01-25,35
6,2024-03-11,34
6,2024-02-21,34
6,2024-01-04,83
6,2024-02-28,76
6,2024-03-12,116
6,2024-01-20,78
6,2024-04-02,38
6,2024-03-03,49
6,2024-02-23,90
6,2024-04-26,64
6,2024-04-24,79
6,2024-04-18,111
6,2024-04-19,91
6,2024-03-14,46
6,2024-04-16,117
6,2024-04-07,32
6,2024-02-26,61
6,2024-03-30,42
6,2024-02-10,118
6,2024-04-22,102
7,2024-01-14,105
7,2024-04-10,71
7,2024-04-07,38
7,2024-01-11,108
7,2024-04-14,69
7,2024-02-25,54
7,2024-03-07,34
7,2024-04-01,40
7,2024-01-29,88
7,2024-01-09,117
7,2024-03-07,108
7,2024-01-25,67
7,2024-04-07,101
8,2024-01-05,88
8,2024-02-17,88
8,2024-03-30,77
8,2024-01-18,70
8,2024-03-10,42
8,2024-02-06,74
8,2024-02-29,118
8,2024-02-17,82
8,2024-03-17,71
8,2024-01-28,92
8,2024-03-09,56
8,2024-03-17,67
8,2024-03-21,89
8,2024-04-23,36
8,2024-02-09,34
8,2024-02-14,74
8,2024-04-05,87
8,2024-03-02,60
8,2024-04-02,52
8,2024-04-24,71
8,2024-02-27,39
8,2024-03-07,61
8,2024-02-25,82
8,2024-02-09,59
8,2024-04-07,68
8,2024-02-09,60
8,2024-03-31,111
8,2024-03-17,31
8,2024-04-18,107
8,2024-02-02,106
8,2024-01-06,41
8,2024-03-28,68
8,2024-01-19,95
8,2024-03-20,42
8,2024-02-09,75
8,2024-04-01,56
9,2024-04-14,51
9,2024-01-17,97
9,2024-04-13,49
9,2024-04-04,97
9,2024-04-07,93
9,2024-02-29,46
9,2024-03-04,41
9,2024-03-28,51
9,2024-04-18,46
9,2024-02-04,39
9,2024-04-21,94
9,2024-03-10,51
9,2024-03-23,119
9,2024-01-30,111
9,2024-03-11,79
9,2024-03-14,43
9,2024-04-14,93
9,2024-04-05,76
9,2024-04-07,58
9,2024-03-03,105
9,2024-01-28,65
9,2024-02-29,81
9,2024-03-19,105
9,2024-04-03,36
9,2024-02-06,58
9,2024-04-02,40
10,2024-01-06,75
10,2024-04-20,58
10,2024-03-19,33
10,2024-02-01,110
10,2024-02-20,42
10,2024-03-15,68
10,2024-02-27,44
10,2024-03-27,58
10,2024-01-26,58
10,2024-04-07,104
11,2024-02-01,63
11,2024-01-02,90
11,2024-02-16,64
11,2024-03-18,93
11,2024-03-24,54
11,2024-01-22,53
11,2024-03-15,41
11,2024-01-27,47
11,2024-03-07,44
11,2024-03-21,109
11,2024-04-17,56
11,2024-02-25,101
11,2024-04-01,89
11,2024-04-02,75
11,2024-01-21,118
11,2024-02-16,46
11,2024-03-20,82
11,2024-04-10,37
11,2024-02-28,108
11,2024-03-24,56
11,2024-01-06,75
11,2024-01-19,79
11,2024-02-26,100
11,2024-03-09,32
11,2024-01-03,93
11,2024-01-01,73
11,2024-02-27,82
11,2024-02-07,53
11,2024-01-15,89
12,2024-01-03,67
12,2024-01-20,61
12,2024-02-15,40
12,2024-01-15,74
12,2024-01-25,118
12,2024-04-03,62
12,2024-03-18,70
12,2024-03-11,37
12,2024-01-17,40
12,2024-04-17,115
12,2024-03-24,80
12,2024-04-09,117
12,2024-01-09,70
12,2024-02-07,46
12,2024-02-17,105
12,2024-04-30,75
12,2024-02-29,61
12,2024-03-03,108
12,2024-03-26,109
12,2024-04-27,83
12,2024-04-26,115
12,2024-04-26,49
12,2024-01-02,62
12,2024-03-28,103
12,2024-03-12,69
12,2024-01-11,61
12,2024-03-04,31
12,2024-03-17,62
12,2024-03-21,106
12,2024-03-12,59
12,2024-01-21,62
12,2024-01-18,106
12,2024-04-03,55
12,2024-03-04,51
12,2024-03-22,95
13,2024-04-12,38
13,2024-03-30,35
13,2024-02-15,102
13,2024-04-23,61
13,2024-01-15,70
13,2024-04-07,105
13,2024-04-15,37
13,2024-04-28,101
13,2024-02-13,79
13,2024-02-18,91
13,2024-04-13,113
13,2024-03-15,91
13,2024-03-01,36
13,2024-03-07,104
13,2024-01-06,113
14,2024-01-04,37
14,2024-01-06,82
14,2024-02-27,84
14,2024-01-22,61
14,2024-01-26,80
14,2024-01-03,73
14,2024-02-10,111
14,2024-02-29,99
14,2024-04-15,47
14,2024-01-14,112
14,2024-03-15,51
14,2024-03-22,66
14,2024-04-27,85
14,2024-01-12,88
14,2024-03-27,32
14,2024-01-12,57
14,2024-01-13,103
14,2024-01-25,64
